,id,unique_id,cnn_intrsctn_fkey,cnn_sgmt_fkey,case_id_pkey,tb_latitude,tb_longitude,geocode_source,geocode_location,collision_datetime,collision_date,collision_time,accident_year,month,day_of_week,primary_rd,secondary_rd,distance,weather_1,collision_severity,type_of_collision,mviw,ped_action,road_surface,road_cond_1,lighting,intersection,number_killed,number_injured,party_at_fault,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,point,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,hour
0,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4fc3,27152,30734000.0,8743201.0,140665255,37.7891960550941,-122.401539091021,SFPD-CROSSROADS,CITY STREET,08/09/2014 11:22:00 PM,2014 August 09,23:22:00,2014,August,Saturday,MARKET ST,02ND ST,51.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Driver,East,Stopped In Road,Driver,East,Entering Traffic,POINT (-122.40154 37.789196),108.0,6.0,3.0,8.0,23
11,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-464a,52979,54077000.0,7500102.0,200324123,37.7426266285,-122.39647544,SFPD-INTERIM DB,CITY STREET,05/29/2020 05:55:00 AM,2020 May 29,05:55:00,2020,May,Friday,JERROLD AVE,SELBY ST,181.0,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Not in Road,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Driver,North,Backing,Parked Vehicle,South,Not Stated,POINT (-122.39648 37.742626),85.0,2.0,9.0,1.0,05
26,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3e67,15585,24414000.0,,160187126,37.7752720604298,-122.415908179158,SFPD-CROSSROADS,CITY STREET,03/04/2016 01:04:00 AM,2016 March 04,01:04:00,2016,March,Friday,MISSION ST,10TH ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,,Driver,West,Proceeding Straight,Pedestrian,North,Not Stated,POINT (-122.41591 37.775272),32.0,1.0,10.0,34.0,01
33,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-36d6,34733,26687000.000000004,,170058175,37.7983435365784,-122.425625503521,SFPD-CROSSROADS,CITY STREET,01/21/2017 10:28:00 PM,2017 January 21,22:28:00,2017,January,Saturday,FRANKLIN ST,UNION ST,0.0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,,Driver,North,Making Right Turn,Pedestrian,East,Proceeding Straight,POINT (-122.42563 37.798344),15.0,4.0,6.0,13.0,22
38,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-31e7,14082,24238000.0,,170601542,37.7718637062541,-122.414026707203,SFPD-CROSSROADS,CITY STREET,07/24/2017 10:56:00 AM,2017 July 24,10:56:00,2017,July,Monday,11TH ST,FOLSOM ST,0.0,Clear,Injury (Complaint of Pain),Sideswipe,Pedestrian,Not in Road,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,3,1.0,Driver,South,Making Left Turn,Driver,North,Proceeding Straight,POINT (-122.414024 37.771862),32.0,1.0,10.0,34.0,10
105,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_2d42,19974,26347000.0,,180924685,37.7729954057,-122.445902366,SFPD-INTERIM DB,CITY STREET,12/07/2018 11:44:00 PM,2018 December 07,23:44:00,2018,December,Friday,FELL ST,MASONIC AVE,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,,Driver,West,Making Left Turn,Pedestrian,North,Proceeding Straight,POINT (-122.4459 37.772995),24.0,7.0,11.0,12.0,23
153,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_607d,24464,24933000.0,7115000.0,5584924,37.782357558531,-122.415647756222,SFPD-CROSSROADS,CITY STREET,02/19/2012 03:15:00 PM,2012 February 19,15:15:00,2012,February,Sunday,HYDE ST,TURK ST,84.0,Clear,Injury (Severe),Head-On,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,West,Other,Driver,South,Proceeding Straight,POINT (-122.41565 37.782356),20.0,5.0,10.0,36.0,15
155,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_64e3,18179,26006000.0,,6049304,37.7691137975771,-122.434893192339,SFPD-CROSSROADS,CITY STREET,12/03/2012 07:50:00 PM,2012 December 03,19:50:00,2012,December,Monday,SCOTT ST,DUBOCE AVE,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,,Pedestrian,East,Stopped In Road,Driver,South,Proceeding Straight,POINT (-122.43489 37.769115),28.0,7.0,5.0,3.0,19
157,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_65a5,32613,25316000.0,,6058815,37.7950273457131,-122.421582755061,SFPD-CROSSROADS,CITY STREET,03/15/2012 08:26:00 AM,2012 March 15,08:26:00,2012,March,Thursday,POLK ST,PACIFIC AVE,0.0,Cloudy,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,2,1.0,Driver,East,Making Left Turn,Pedestrian,West,Proceeding Straight,POINT (-122.421585 37.79503),105.0,4.0,3.0,32.0,08
202,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4bdb,29574,26514000.0,,140398741,37.7849538797029,-122.427988927016,SFPD-CROSSROADS,CITY STREET,05/12/2014 05:36:00 PM,2014 May 12,17:36:00,2014,May,Monday,GEARY BLVD,LAGUNA ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Left Turn,Pedestrian,South,Proceeding Straight,POINT (-122.427986 37.784954),100.0,4.0,11.0,39.0,17
