,school_within_300,bus_stop_within_300,speedlimit,tb_latitude,tb_longitude,day_of_year,accident_year,distance,weather_1,collision_severity,type_of_collision,road_surface,road_cond_1,lighting,number_killed,number_injured,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,hour,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,CLUSTER_ID,accident
0,0,1,50,37.78919606,-122.4015391,221,2014,51,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Stopped In Road,Driver,East,Entering Traffic,108,6,3,8,23,17.5,15.0,21.1,0.0,0.0,264.0,22.3,1014.5,440,1
2,0,1,50,37.77527206,-122.4159082,064,2016,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Proceeding Straight,Pedestrian,North,Not Stated,32,1,10,34,1,16.1,15.6,17.8,5.1,0.0,,13.3,,209,1
4,0,1,50,37.77186371,-122.4140267,205,2017,0,Clear,Injury (Complaint of Pain),Sideswipe,Dry,No Unusual Condition,Daylight,0,3,Driver,South,Making Left Turn,Driver,North,Proceeding Straight,32,1,10,34,10,16.7,12.8,23.3,0.0,0.0,241.0,15.1,1010.5,193,1
7,0,1,25,37.7691138,-122.4348932,338,2012,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,East,Stopped In Road,Driver,South,Proceeding Straight,28,7,5,3,19,11.8,7.8,15.0,0.0,0.0,,3.6,1021.3,264,1
8,0,1,25,37.79502735,-122.4215828,075,2012,0,Cloudy,Injury (Other Visible),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,2,Driver,East,Making Left Turn,Pedestrian,West,Proceeding Straight,105,4,3,32,8,13.8,12.8,16.1,2.5,0.0,187.0,11.9,1019.7,391,1
9,0,1,20,37.78495388,-122.4279889,132,2014,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Making Left Turn,Pedestrian,South,Proceeding Straight,100,4,11,39,17,17.5,11.1,28.9,0.0,0.0,,12.6,1018.4,289,1
12,1,1,50,37.78992623,-122.3942762,239,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,1,Driver,East,Making Right Turn,Pedestrian,South,Other,32,1,10,8,19,17.6,15.0,22.2,0.0,0.0,193.0,13.0,1013.5,313,1
14,1,1,30,37.78711246,-122.44025,307,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,103,4,6,30,21,14.2,10.6,20.6,0.0,0.0,250.0,7.9,1021.5,226,1
15,1,1,15,37.74288062,-122.4757074,227,2014,61,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,West,Proceeding Straight,Driver,South,Proceeding Straight,40,10,7,35,2,18.4,15.6,23.3,0.0,0.0,165.0,17.3,1014.9,74,1
17,1,1,50,37.78186334,-122.4138656,172,2015,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,2,Driver,East,Proceeding Straight,Pedestrian,South,Parked,20,5,10,36,15,15.0,12.8,18.9,0.0,0.0,273.0,22.7,1015.6,465,1
19,0,1,35,37.70954337,-122.4504989,024,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,2,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,66,9,1,28,17,11.3,9.4,13.9,0.0,0.0,283.0,14.4,1023.0,138,1
20,1,0,50,37.77404333,-122.4143677,280,2019,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,32,1,10,34,10,20.8,12.8,28.9,0.0,0.0,324.0,10.1,1014.0,294,1
21,0,1,25,37.78008571,-122.4847173,326,2019,5,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,South,Proceeding Straight,8,8,4,29,8,13.1,8.3,18.3,0.0,0.0,240.0,8.3,1021.0,112,1
24,0,1,25,37.76231577,-122.462972,093,2014,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Proceeding Straight,Pedestrian,East,Other,109,7,11,14,20,12.5,9.4,17.8,0.0,0.0,,9.7,1018.9,89,1
25,0,1,50,37.77865786,-122.4165803,119,2013,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Right Turn,Pedestrian,West,Proceeding Straight,21,5,10,36,8,17.6,11.1,26.7,0.0,0.0,,23.0,1011.1,370,1
26,0,1,50,37.76510996,-122.4186984,192,2014,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,53,3,2,20,13,18.4,15.6,22.2,0.0,0.0,230.0,21.2,1016.2,284,1
27,0,0,50,37.7877655,-122.4050414,220,2015,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Left Turn,Pedestrian,South,Proceeding Straight,19,6,3,8,14,18.7,16.1,21.7,0.0,0.0,248.0,19.1,1013.7,340,1
29,0,0,50,37.77648474,-122.4185727,338,2014,130,Cloudy,Injury (Other Visible),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,1,Pedestrian,East,Other,Driver,North,Proceeding Straight,21,4,10,36,12,16.9,14.4,19.4,2.5,0.0,,7.9,,334,1
30,1,1,50,37.79115281,-122.3958134,342,2016,0,Raining,Injury (Other Visible),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,108,1,10,8,19,9.0,5.6,10.6,11.2,0.0,130.0,11.5,1020.6,316,1
31,1,0,50,37.77595286,-122.4227642,343,2015,7,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,21,4,11,9,19,14.1,12.2,18.3,0.0,0.0,,6.5,1019.3,304,1
32,0,1,65,37.72464868,-122.4348241,008,2013,15,Clear,Injury (Complaint of Pain),Sideswipe,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,East,Proceeding Straight,Driver,North,Proceeding Straight,90,9,1,7,0,9.9,6.1,13.3,0.0,0.0,,3.6,1022.0,147,1
34,0,0,50,37.77552455,-122.4260703,196,2013,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Making Left Turn,Pedestrian,North,Proceeding Straight,22,4,11,9,13,14.5,11.7,20.6,0.0,0.0,257.0,18.7,1012.9,255,1
35,0,1,55,37.71040922,-122.404226,079,2014,0,Clear,Fatal,Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,1,0,Driver,North,Making Left Turn,Pedestrian,East,Not Stated,75,9,9,40,11,15.5,10.6,20.6,0.0,0.0,,17.6,1016.5,8,1
36,1,0,20,37.78361664,-122.422671,057,2014,5,Raining,Injury (Other Visible),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Making Left Turn,Pedestrian,North,Proceeding Straight,100,4,11,39,19,13.6,12.2,15.6,10.9,0.0,143.0,24.1,1010.4,354,1
37,0,1,35,37.77810439,-122.4578639,323,2016,226,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Proceeding Straight,Pedestrian,North,Proceeding Straight,12,8,4,18,16,12.2,7.8,19.4,0.0,0.0,169.0,13.0,1016.2,110,1
38,0,1,50,37.78399149,-122.4080665,176,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Other,Driver,East,Backing,19,5,10,34,14,16.3,12.2,22.8,0.0,0.0,285.0,27.0,1017.7,458,1
39,0,0,50,37.78149951,-122.4049333,135,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Proceeding Straight,Driver,South,Making Left Turn,32,1,10,34,15,15.5,12.2,21.7,0.0,0.0,224.0,15.8,1017.2,423,1
40,0,0,25,37.77781525,-122.4231656,258,2015,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,South,Proceeding Straight,21,4,11,9,9,16.4,13.9,20.0,0.0,0.0,260.0,20.5,1012.1,305,1
43,0,1,65,37.73740625,-122.4240401,324,2014,0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Proceeding Straight,Pedestrian,East,Other,61,9,5,2,18,14.4,11.7,15.6,5.1,0.0,,5.8,,203,1
44,0,1,50,37.77623052,-122.414711,127,2014,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Proceeding Straight,Pedestrian,West,Proceeding Straight,32,1,10,34,1,13.8,10.6,17.8,0.0,0.0,316.0,27.0,1014.5,330,1
45,0,1,35,37.71480954,-122.442411,343,2013,70,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,East,Proceeding Straight,Driver,North,Proceeding Straight,58,9,1,7,19,6.1,2.2,11.1,0.0,0.0,,12.2,1028.4,158,1
46,0,1,55,37.71217949,-122.4024595,195,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,South,Entering Traffic,Driver,East,Proceeding Straight,75,9,9,40,4,17.0,12.8,25.0,0.0,0.0,304.0,19.8,1014.9,9,1
47,0,1,50,37.77513479,-122.4098818,018,2016,74,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Backing,Pedestrian,East,Other,32,1,10,34,2,13.6,11.7,16.1,7.6,0.0,,7.9,1020.2,365,1
48,0,1,20,37.78476307,-122.4211164,023,2015,22,Clear,Injury (Other Visible),Head-On,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,South,Proceeding Straight,Driver,East,Making Left Turn,20,4,10,36,18,11.4,7.2,19.4,0.0,0.0,,3.2,1026.3,405,1
49,1,1,50,37.78992623,-122.3942762,311,2015,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,1,Pedestrian,South,Proceeding Straight,Driver,East,Proceeding Straight,32,1,10,8,18,13.2,8.3,18.9,0.0,0.0,,9.0,1019.9,313,1
51,0,1,35,37.71575345,-122.4415543,294,2015,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,1,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,58,9,1,7,18,17.7,12.8,23.9,0.0,0.0,,13.3,1013.9,157,1
52,0,1,25,37.80831242,-122.4102379,204,2016,350,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Proceeding Straight,Driver,East,Proceeding Straight,99,6,3,23,12,16.4,12.2,21.1,0.0,0.0,293.0,24.8,1018.8,258,1
56,1,1,15,37.73106575,-122.4748566,244,2015,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Making Right Turn,Pedestrian,South,Proceeding Straight,62,10,8,41,16,18.8,15.0,24.4,0.0,0.0,,13.7,1012.0,57,1
57,0,1,50,37.78223057,-122.410292,321,2015,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Proceeding Straight,Pedestrian,East,Proceeding Straight,32,5,10,34,10,12.7,10.0,16.1,0.0,0.0,343.0,14.0,1026.6,445,1
59,0,1,50,37.7657833,-122.4075342,101,2015,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,54,3,9,20,9,14.5,10.6,20.6,0.0,0.0,,23.8,1017.7,204,1
60,1,1,25,37.79184209,-122.3949402,345,2014,0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Making Left Turn,Pedestrian,North,Proceeding Straight,108,1,10,8,6,17.1,10.6,19.4,87.1,0.0,,18.7,1003.0,316,1
61,0,1,50,37.76066127,-122.4070658,320,2015,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Right Turn,Pedestrian,East,Other,53,3,9,20,16,11.3,8.3,15.6,0.0,0.0,303.0,19.4,1024.3,164,1
62,0,1,35,37.70880634,-122.4526647,318,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,66,9,1,28,22,12.5,10.6,16.1,0.0,0.0,344.0,20.9,1016.8,139,1
64,0,1,50,37.77527206,-122.4159082,167,2014,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Left Turn,Pedestrian,South,Not Stated,32,1,10,34,7,15.2,12.8,18.3,0.0,0.0,250.0,25.9,1012.5,209,1
66,0,1,50,37.76963025,-122.4261041,259,2014,60,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,North,Entering Traffic,Driver,West,Proceeding Straight,27,3,5,20,23,20.3,16.7,27.2,0.0,0.0,,15.5,1011.9,257,1
68,0,1,25,37.77251722,-122.4853322,227,2016,20,Cloudy,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,2,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,8,8,4,29,9,15.3,12.2,21.1,0.0,0.0,295.0,27.0,1012.9,90,1
69,0,1,15,37.74089197,-122.465829,201,2016,0,Cloudy,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Other,Driver,East,Parking Maneuver,46,10,8,41,9,15.8,12.8,20.6,0.0,0.0,266.0,26.3,1018.9,60,1
71,1,1,25,37.80525201,-122.4168959,249,2015,15,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,West,Proceeding Straight,Driver,South,Stopped In Road,99,6,3,23,19,19.1,13.3,29.4,0.0,0.0,,10.1,1014.1,280,1
72,0,1,25,37.74248467,-122.4885472,030,2014,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,40,10,7,35,20,12.6,11.1,14.4,0.0,0.0,,21.6,1012.9,55,1
74,1,0,50,37.77191742,-122.4234072,042,2014,12,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,East,Proceeding Straight,Driver,South,Proceeding Straight,26,1,5,20,3,10.9,9.4,13.3,0.0,0.0,,14.8,1023.4,302,1
75,0,1,25,37.75130373,-122.4340895,109,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,2,Pedestrian,South,Proceeding Straight,Driver,North,Making Left Turn,84,3,5,22,10,19.4,13.3,27.8,0.0,0.0,314.0,11.9,1017.1,122,1
76,1,1,25,37.79782081,-122.4070285,221,2014,4,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,104,6,3,6,1,17.5,15.0,21.1,0.0,0.0,264.0,22.3,1014.5,388,1
77,0,1,25,37.80320878,-122.4248929,097,2014,8,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Proceeding Straight,Driver,North,Proceeding Straight,107,4,6,32,18,17.9,12.8,27.8,0.0,0.0,,9.7,1019.5,350,1
79,0,0,25,37.71608885,-122.4445748,048,2016,5,Raining,Injury (Other Visible),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,80,9,1,28,17,18.6,10.0,20.6,11.4,0.0,173.0,28.1,1003.3,137,1
80,0,1,55,37.71217369,-122.4023991,309,2015,20,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Proceeding Straight,Driver,North,Making Left Turn,89,9,9,1,7,12.7,8.3,17.8,0.0,0.0,,7.6,1023.3,9,1
81,0,1,50,37.78026497,-122.4033872,019,2016,0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,1,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,32,1,10,34,9,13.9,11.7,16.7,26.4,0.0,,20.9,1017.6,424,1
82,0,1,20,37.78331089,-122.4175288,146,2015,0,Cloudy,Injury (Complaint of Pain),Head-On,Wet,No Unusual Condition,Daylight,0,1,Driver,West,Making Left Turn,Pedestrian,South,Not Stated,20,5,10,36,9,14.3,12.2,18.3,0.0,0.0,260.0,16.6,1016.0,410,1
84,0,0,20,37.78714914,-122.409874,149,2015,0,Cloudy,Injury (Severe),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,North,Not Stated,Driver,East,Backing,20,6,3,36,2,13.4,11.7,16.7,0.0,0.0,266.0,21.6,1015.4,379,1
85,0,0,25,37.7569686,-122.4200111,257,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Proceeding Straight,Pedestrian,North,Proceeding Straight,53,3,2,20,8,16.6,13.3,21.7,0.0,0.0,175.0,15.8,1012.6,274,1
86,0,1,25,37.80403508,-122.4149689,162,2015,63,Cloudy,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,3,Driver,North,Proceeding Straight,Pedestrian,West,Proceeding Straight,106,6,3,23,22,15.8,12.2,21.7,0.0,0.0,,18.4,1011.4,279,1
88,0,1,30,37.76178141,-122.4467834,277,2015,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,114,7,11,14,8,15.8,11.7,22.8,0.0,0.0,219.0,11.5,1001.9,12,1
